user_id,username,genai_keywords,roadmap,skillsets,dailytasks
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Communication,Day1: Learn Active Listening Skills
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Communication,Day2: Practice Non-Verbal Communication
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Communication,Day3: Craft a Compelling Message and Story
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Communication,Day4: Learn the Art of Giving and Receiving Feedback
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Communication,Day5: Develop Your Public Speaking Skills
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Communication,Day6: Study Persuasive Communication Techniques and Learn from the Masters
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Communication,Day7: Engage in Conflict Resolution and Negotiation Exercises
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Problem Solving,Day1: Learn Binary Search
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Problem Solving,Day2: Practice Dynamic Programming
user_0,Shivam,Consultant,"To become a consultant, focus on developing a strong understanding of your specialized industry or field. Gain 2-3 years of work experience, then pursue an MBA or a professional certification like CMC. Finally, build a strong network and create a personal brand to attract clients.",Problem Solving,Day3: Watch Videos on Greedy Algorithms
